x,y,z,Mx,My,Mz
-0.496107,2.77567,3.597977,0.129794,0.073098,-0.097744
-0.436108,2.84567,4.027977,0.152794,0.075098,-0.094744
0.113894,1.94567,4.177979,0.114794,0.098098,-0.103744
-0.166107,1.46567,4.697975,0.083794,0.101098,-0.105744
-0.636106,1.77567,4.64798,0.096794,0.115098,-0.099744
-0.476107,2.16567,4.64798,0.118794,0.121098,-0.099744
-0.406107,2.51567,4.687981,0.109794,0.072098,-0.096744
-0.486107,2.17567,3.837975,0.128794,0.088098,-0.098744
-0.246107,1.74567,3.267975,0.122794,0.077098,-0.103744
0.143892,0.99567,3.287979,0.134794,0.090099,-0.104744
-0.186108,0.87567,4.127975,0.139794,0.142098,-0.108744
-0.026108,1.33567,4.337975,0.097794,0.118098,-0.103744
-0.106108,1.46567,5.077976,0.082794,0.136099,-0.100744
-0.846107,2.69567,4.947979,0.037794,0.109098,-0.097744
-0.476107,2.58567,5.207977,0.053794,0.082098,-0.102744
-0.966106,2.48567,4.457977,0.052794,0.082098,-0.099744
-0.496107,1.92567,3.387978,0.071794,0.054098,-0.103744
0.903893,-0.32433,1.89798,0.187794,0.163099,-0.103744
-0.586107,0.86567,2.937981,0.096794,0.067098,-0.098744
-0.466106,1.44567,3.957977,0.059794,0.012098,-0.115744
0.643892,0.23567,3.777977,0.163794,0.219099,-0.103744
-0.706106,2.93567,4.497978,0.046794,0.129098,-0.091744
-0.776108,3.55567,4.467979,0.017794,0.112098,-0.102744
-0.836107,3.06567,3.207977,0.043794,0.160098,-0.103744
-0.186108,2.52567,2.517975,0.116794,0.131099,-0.108744
-0.656107,1.56567,2.447975,0.117794,0.120098,-0.096744
-1.746107,2.05567,4.237976,0.052794,0.022098,-0.093744
-0.376106,0.77567,4.457977,0.154794,0.083098,-0.116744
-0.186108,0.48567,4.027977,0.137794,0.167098,-0.100744
-1.426107,3.21567,4.067978,0.006794,0.073098,-0.095744
-0.936108,3.02567,2.667976,-0.019206,0.107098,-0.120744
0.433893,1.77567,1.227982,0.065794,0.212098,-0.111744
0.273893,2.40567,1.997978,0.139794,0.175098,-0.101744
-0.466106,1.77567,3.807976,0.118794,0.122099,-0.101744
-1.636106,2.20567,5.287979,0.053794,0.043099,-0.096744
-0.736107,1.62567,4.807976,0.124794,0.085099,-0.105744
-0.266108,1.04567,4.887978,0.070794,0.115098,-0.101744
-1.256107,2.70567,4.157974,-0.030206,0.079098,-0.096744
-0.076107,1.81567,3.107979,0.043794,0.109098,-0.116744
0.683893,0.81567,3.367981,0.081794,0.118098,-0.120744
0.013893,1.92567,2.847977,0.082794,0.058098,-0.108744
0.043894,0.91567,3.967979,0.130794,0.064098,-0.108744
-0.366106,0.54567,4.64798,0.128794,0.108099,-0.104744
-0.526108,1.32567,5.027977,0.104794,0.096098,-0.100744
