x,y,z,Mx,My,Mz
-0.454647,2.210894,5.586693,0.011498,0.182376,-0.147522
-0.504648,2.340894,6.226692,0.016498,0.180376,-0.147522
-0.494648,2.230894,5.586693,0.027498,0.194376,-0.147522
-0.664648,2.360894,5.556694,0.014498,0.177376,-0.147522
-0.464647,2.220894,5.856693,0.032498,0.190376,-0.147522
-0.534647,2.290894,5.736694,0.023498,0.187376,-0.146522
-0.374647,2.160894,5.946693,0.029498,0.192376,-0.146522
-0.544647,2.310894,6.376694,0.011498,0.182376,-0.146522
-0.504648,2.390894,6.286694,0.014498,0.186376,-0.148522
-0.294647,2.240894,6.056694,0.033498,0.202376,-0.147522
-0.444647,2.300894,5.826691,0.017498,0.190376,-0.146522
-0.374647,2.190894,5.766693,0.031498,0.199376,-0.148522
-0.464647,2.260894,5.696693,0.024498,0.191376,-0.148522
-0.574648,2.340894,6.376694,0.003498,0.167376,-0.147522
-0.504648,2.330894,5.976692,0.011498,0.173376,-0.147522
-0.444647,2.320894,5.626694,0.022498,0.180376,-0.146522
-0.554647,2.440894,5.906693,0.015498,0.170376,-0.146522
-0.394648,2.250894,5.786694,0.027498,0.191376,-0.148522
0.028137,0.080801,-0.046574,0.001803,0.00332,-1e-05
0.238136,-0.119198,-0.306576,0.011803,0.01232,-0.00101
0.228136,-0.109199,-0.086575,0.007803,0.00532,-0.00101
0.308136,-0.199199,0.183426,0.015803,0.02032,-1e-05
-0.091864,-0.009199,0.133427,-0.010197,0.00232,0.00099
-0.101864,-0.039198,0.043427,-0.006197,-0.00468,-1e-05
-0.081863,-0.109199,-0.186573,0.003803,0.00132,-0.00101
-0.211863,-0.029199,0.293427,-0.006197,-0.00668,-1e-05
0.018137,-0.149199,0.073425,0.005803,0.00432,0.00099
-0.091864,0.020802,0.253426,-0.001197,-0.00468,0.00199
-0.061863,-0.129199,-0.396572,0.008803,0.01132,0.00099
-0.181864,-0.099198,-0.026573,-0.003197,0.00332,0.00099
0.238136,-0.399199,-0.066574,0.017803,0.02432,0.00099
-0.201864,0.290802,-0.486572,0.009803,-0.00168,0.00199
-0.161863,0.260801,-0.316574,0.029803,0.00932,0.00199
-0.231863,0.150802,0.133427,0.005803,0.00532,0.00099
-0.151863,-0.089199,0.103428,-0.017197,-0.00568,0.00099
-0.051863,-0.159198,0.333427,-0.014197,-0.02368,0.00199
-0.101864,0.540802,0.473427,0.015803,-0.01568,0.00099
0.548136,0.120801,0.463425,0.063803,0.01032,-0.00101
0.488136,0.000802,-0.466576,0.009803,-0.03868,0.00199
0.198137,0.020802,0.633427,-0.017197,-0.01368,0.00199
-0.571863,0.830801,-0.536575,-0.036197,-0.00368,0.00299
0.218136,0.050801,-0.226574,0.004803,0.01932,-0.00101
0.838137,0.600801,0.093426,0.018803,0.00432,-0.00201
0.168137,2.140801,-2.016575,0.044803,0.01732,0.00199
-0.311863,2.230802,-2.266575,0.036803,0.01632,0.00399
0.448137,0.930801,0.353428,-0.013197,-0.05968,-0.00201
0.808136,-0.679198,-0.096573,-0.034197,-0.06868,-0.00601
0.748137,-1.219198,-0.376575,-0.055197,-0.05568,-0.00701
1.568136,-1.599198,0.833427,-0.045197,-0.04968,-0.00801
1.008137,-0.589199,0.263428,-0.079197,-0.11868,-0.00401
0.778137,-0.869199,0.073425,-0.023197,-0.07068,-0.00601
0.088137,-0.469199,-0.406574,-0.001197,0.00532,-0.00501
-0.221863,0.610802,-0.006573,0.029803,0.03932,-0.00401
-0.481863,1.250802,-0.666573,0.028803,0.04532,-0.00401
-0.411863,0.420802,-1.256573,0.031803,0.06932,-0.00601
-0.901863,0.440802,0.283424,-0.067197,-0.01368,-0.00601
0.148136,0.010801,0.473427,-0.051197,-0.01168,-0.00601
0.298136,0.530801,-0.716576,-0.021197,-0.04368,-0.00401
0.758137,-0.529199,-0.356575,0.038803,-0.00068,-0.00601
0.228136,-0.639198,-0.136574,-0.045197,-0.04768,-0.00701
1.328136,-1.649199,0.063427,-0.027197,-0.01868,-0.01201
0.858137,-0.889198,-0.526573,-0.063197,-0.06868,-0.00901
