Waypoint,j0,j1,j2,j3,j4,j5
0,0,-1.5708,0,-1.5708,0,0
1,0.0478117,-1.56185,0.000196841,-1.56202,-0.0050735,-0.00558033
2,0.0956234,-1.5529,0.000393683,-1.55325,-0.010147,-0.0111607
3,0.143435,-1.54394,0.000590524,-1.54447,-0.0152205,-0.016741
4,0.191247,-1.53499,0.000787366,-1.53569,-0.020294,-0.0223213
5,0.239059,-1.52604,0.000984207,-1.52692,-0.0253675,-0.0279017
6,0.257274,-1.52263,0.0010592,-1.52357,-0.0273005,-0.0300277
7,0.306813,-1.51824,0.00262713,-1.52102,-0.0288772,-0.0339176
8,0.356352,-1.51385,0.00419506,-1.51847,-0.030454,-0.0378074
9,0.405891,-1.50946,0.005763,-1.51591,-0.0320307,-0.0416973
10,0.45543,-1.50506,0.00733093,-1.51336,-0.0336075,-0.0455871
11,0.504969,-1.50067,0.00889886,-1.51081,-0.0351842,-0.049477
12,0.554508,-1.49628,0.0104668,-1.50825,-0.0367609,-0.0533669
13,0.604047,-1.49189,0.0120347,-1.5057,-0.0383377,-0.0572567
14,0.653586,-1.48749,0.0136027,-1.50314,-0.0399144,-0.0611466
15,0.703125,-1.4831,0.0151706,-1.50059,-0.0414912,-0.0650364
16,0.752664,-1.47871,0.0167385,-1.49804,-0.0430679,-0.0689263
17,0.802203,-1.47432,0.0183064,-1.49548,-0.0446447,-0.0728161
18,0.851742,-1.46992,0.0198744,-1.49293,-0.0462214,-0.076706
19,0.901281,-1.46553,0.0214423,-1.49037,-0.0477982,-0.0805958
20,0.95082,-1.46114,0.0230102,-1.48782,-0.0493749,-0.0844857
21,1.00036,-1.45674,0.0245782,-1.48527,-0.0509517,-0.0883755
22,1.0499,-1.45235,0.0261461,-1.48271,-0.0525284,-0.0922654
23,1.09944,-1.44796,0.027714,-1.48016,-0.0541052,-0.0961553
24,1.14898,-1.44357,0.029282,-1.47761,-0.0556819,-0.100045
25,1.19089,-1.4581,0.0162433,-1.4767,-0.0553394,-0.0810341
26,1.2328,-1.47263,0.00320465,-1.47579,-0.0549969,-0.062023
27,1.27471,-1.48716,-0.009834,-1.47489,-0.0546544,-0.043012
28,1.30417,-1.49738,-0.0190016,-1.47425,-0.0544136,-0.0296451
29,1.34861,-1.50961,-0.0158347,-1.49034,-0.0453447,-0.0247043
30,1.39305,-1.52185,-0.0126677,-1.50643,-0.0362758,-0.0197634
31,1.43749,-1.53409,-0.0095008,-1.52252,-0.0272068,-0.0148226
32,1.48192,-1.54632,-0.00633387,-1.53861,-0.0181379,-0.00988171
33,1.52636,-1.55856,-0.00316693,-1.5547,-0.00906894,-0.00494086
34,1.5708,-1.5708,0,-1.5708,0,0
