Waypoint,j0,j1,j2,j3,j4,j5
0,-1.17394,-1.27671,-2.24123,-2.76671,-0.987764,-2.35483
1,-1.12851,-1.25382,-2.24276,-2.7866,-0.921565,-2.3562
2,-1.10115,-1.24439,-2.24875,-2.79005,-0.881946,-2.3562
3,-1.07331,-1.23547,-2.25433,-2.79339,-0.841822,-2.3562
4,-1.04513,-1.22714,-2.25946,-2.79659,-0.801368,-2.3562
5,-1.01669,-1.21942,-2.26415,-2.79961,-0.760679,-2.3562
6,-0.988077,-1.21236,-2.26839,-2.80243,-0.71983,-2.3562
7,-0.95935,-1.20599,-2.27218,-2.80502,-0.678887,-2.3562
8,-0.930578,-1.20032,-2.27551,-2.80735,-0.637911,-2.3562
9,-0.901828,-1.19538,-2.27839,-2.80942,-0.596963,-2.3562
10,-0.873167,-1.1912,-2.28081,-2.81118,-0.556101,-2.3562
11,-0.84466,-1.18779,-2.28276,-2.81263,-0.515385,-2.3562
12,-0.816375,-1.18518,-2.28425,-2.81375,-0.474873,-2.3562
13,-0.760729,-1.18241,-2.28583,-2.81494,-0.394689,-2.3562
14,-0.70673,-1.18299,-2.28551,-2.81468,-0.315984,-2.3562
15,-0.654842,-1.18701,-2.28323,-2.81295,-0.239152,-2.35619
16,-0.605471,-1.19447,-2.27895,-2.80977,-0.16453,-2.35619
17,-0.558954,-1.20537,-2.27259,-2.80523,-0.0923876,-2.3562
18,-0.515553,-1.21963,-2.26408,-2.79944,-0.0229175,-2.35622
19,-0.475449,-1.23717,-2.25333,-2.79267,0.0437622,-2.35621
20,-0.43875,-1.25782,-2.24026,-2.7851,0.107606,-2.3562
21,-0.405495,-1.28142,-2.22478,-2.77699,0.168635,-2.3562
22,-0.375664,-1.30777,-2.20678,-2.76863,0.22692,-2.3562
23,-0.349191,-1.33666,-2.18617,-2.76035,0.28258,-2.3562
24,-0.325973,-1.36788,-2.16287,-2.75243,0.335761,-2.3562
25,-0.305883,-1.40121,-2.13678,-2.74519,0.386633,-2.35619
26,-0.288775,-1.43644,-2.10782,-2.73892,0.435373,-2.35619
27,-0.274493,-1.4734,-2.0759,-2.73388,0.482166,-2.35619
28,-0.262881,-1.5119,-2.04095,-2.73034,0.527194,-2.35619
29,-0.253778,-1.5518,-2.00288,-2.72851,0.570629,-2.35619
30,-0.247031,-1.59297,-1.96162,-2.72859,0.612638,-2.35619
31,-0.242488,-1.63532,-1.9171,-2.73077,0.653373,-2.35619
32,-0.240005,-1.67875,-1.86924,-2.73519,0.692973,-2.35619
33,-0.239191,-1.72333,-1.81778,-2.74208,0.731813,-2.3562
