Waypoint,j0,j1,j2,j3,j4,j5
0,0,-1.57,0,-1.57,0,0
1,0.0258679,-1.5363,-0.0162993,-1.5712,-0.0205367,0.00246466
2,0.0517359,-1.50259,-0.0325986,-1.57239,-0.0410734,0.00492931
3,0.0776038,-1.46889,-0.0488978,-1.57359,-0.06161,0.00739397
4,0.0925583,-1.44941,-0.0583206,-1.57428,-0.0734824,0.0088188
5,0.107585,-1.42163,-0.0734613,-1.58709,-0.103324,0.0236028
6,0.122612,-1.39385,-0.0886021,-1.59991,-0.133166,0.0383867
7,0.137638,-1.36607,-0.103743,-1.61272,-0.163008,0.0531707
8,0.152665,-1.33829,-0.118884,-1.62554,-0.19285,0.0679546
9,0.167692,-1.31051,-0.134024,-1.63835,-0.222691,0.0827386
10,0.182719,-1.28274,-0.149165,-1.65117,-0.252533,0.0975225
11,0.197745,-1.25496,-0.164306,-1.66398,-0.282375,0.112306
12,0.212772,-1.22718,-0.179447,-1.6768,-0.312217,0.12709
13,0.227799,-1.1994,-0.194587,-1.68962,-0.342059,0.141874
14,0.242825,-1.17162,-0.209728,-1.70243,-0.3719,0.156658
15,0.257852,-1.14385,-0.224869,-1.71525,-0.401742,0.171442
16,0.272879,-1.11607,-0.24001,-1.72806,-0.431584,0.186226
17,0.287906,-1.08829,-0.255151,-1.74088,-0.461426,0.20101
18,0.302932,-1.06051,-0.270291,-1.75369,-0.491267,0.215794
19,0.317959,-1.03273,-0.285432,-1.76651,-0.521109,0.230578
20,0.332986,-1.00496,-0.300573,-1.77932,-0.550951,0.245362
21,0.348012,-0.977178,-0.315714,-1.79214,-0.580793,0.260146
22,0.363039,-0.9494,-0.330854,-1.80495,-0.610635,0.27493
23,0.378066,-0.921622,-0.345995,-1.81777,-0.640476,0.289714
24,0.393093,-0.893844,-0.361136,-1.83059,-0.670318,0.304498
25,0.408119,-0.866066,-0.376277,-1.8434,-0.70016,0.319282
26,0.423146,-0.838287,-0.391417,-1.85622,-0.730002,0.334066
27,0.438173,-0.810509,-0.406558,-1.86903,-0.759844,0.34885
28,0.4532,-0.782731,-0.421699,-1.88185,-0.789685,0.363634
29,0.468226,-0.754953,-0.43684,-1.89466,-0.819527,0.378418
30,0.483253,-0.727175,-0.45198,-1.90748,-0.849369,0.393202
31,0.49828,-0.699397,-0.467121,-1.92029,-0.879211,0.407986
32,0.513306,-0.671619,-0.482262,-1.93311,-0.909052,0.42277
33,0.528333,-0.643841,-0.497403,-1.94592,-0.938894,0.437553
34,0.54336,-0.616063,-0.512544,-1.95874,-0.968736,0.452337
35,0.558387,-0.588285,-0.527684,-1.97156,-0.998578,0.467121
36,0.573413,-0.560507,-0.542825,-1.98437,-1.02842,0.481905
37,0.58844,-0.532729,-0.557966,-1.99719,-1.05826,0.496689
38,0.603467,-0.50495,-0.573107,-2.01,-1.0881,0.511473
39,0.618493,-0.477172,-0.588247,-2.02282,-1.11794,0.526257
40,0.63352,-0.449394,-0.603388,-2.03563,-1.14779,0.541041
41,0.648547,-0.421616,-0.618529,-2.04845,-1.17763,0.555825
42,0.663574,-0.393838,-0.63367,-2.06126,-1.20747,0.570609
43,0.6786,-0.36606,-0.64881,-2.07408,-1.23731,0.585393
44,0.693627,-0.338282,-0.663951,-2.08689,-1.26715,0.600177
45,0.708654,-0.310504,-0.679092,-2.09971,-1.297,0.614961
46,0.72368,-0.282726,-0.694233,-2.11252,-1.32684,0.629745
47,0.738707,-0.254948,-0.709374,-2.12534,-1.35668,0.644529
48,0.753734,-0.22717,-0.724514,-2.13816,-1.38652,0.659313
49,0.768761,-0.199392,-0.739655,-2.15097,-1.41636,0.674097
50,0.783787,-0.171614,-0.754796,-2.16379,-1.4462,0.688881
51,0.798814,-0.143835,-0.769937,-2.1766,-1.47605,0.703665
52,0.813841,-0.116057,-0.785077,-2.18942,-1.50589,0.718449
53,0.817461,-0.109366,-0.788725,-2.1925,-1.51308,0.72201
54,0.819105,-0.0927763,-0.799755,-2.21394,-1.54594,0.745693
55,0.819116,-0.0926634,-0.79983,-2.21408,-1.54617,0.745854
56,0.833781,-0.0757919,-0.817981,-2.23031,-1.57805,0.765626
57,0.848446,-0.0589204,-0.836132,-2.24654,-1.60993,0.785398
