idx,path_found,traj_success,contact_free,door_opened,door_width,door_height,x,y,z,rot_z,state_angle,axis_pos
0,True,True,True,True,0.315,0.315,-0.23390909091957188,0.6468227769292677,0.2805,92.4539590308229,-10.055566156080955,-1.0
1,True,True,True,True,0.315,0.315,-0.26028894676313485,0.6134459215924849,0.2805,79.33834802422608,-10.055566156080955,-1.0
2,True,True,True,True,0.315,0.315,-0.29033668382768874,0.549508547417194,0.2805,77.63670086291414,-10.055566156080955,-1.0
3,True,True,True,True,0.315,0.315,-0.011773426706628398,0.6791925567392427,0.2805,85.6420087155333,-10.055566156080955,-1.0
4,True,True,True,True,0.315,0.315,-0.24769799254590283,0.7034526512011504,0.2805,81.25112619156135,-10.055566156080955,-1.0
5,True,True,True,True,0.315,0.315,-0.2143157710625684,0.584305547293687,0.2805,93.6632453019586,-10.055566156080955,-1.0
6,True,True,True,True,0.315,0.315,-0.13630465868278063,0.7005163255656026,0.2805,96.62403865560559,-10.055566156080955,-1.0
7,True,True,True,True,0.315,0.315,-0.12699718593064951,0.6152516936572024,0.2805,73.23165204439141,-10.055566156080955,-1.0
8,True,True,True,True,0.315,0.315,-0.3160894067143609,0.6388929919535771,0.2805,91.57179712417627,-10.055566156080955,-1.0
9,True,True,True,True,0.315,0.315,-0.11367444666947318,0.6792876113349053,0.2805,83.09967664455752,-10.055566156080955,-1.0
10,True,True,True,True,0.315,0.315,-0.00955770691574287,0.6210632076020786,0.2805,100.77162602253004,-10.055566156080955,-1.0
11,True,True,True,True,0.315,0.315,-0.1359171960873012,0.6431528650747721,0.2805,91.74881654911985,-10.055566156080955,-1.0
12,True,True,True,True,0.315,0.315,-0.08696451107723796,0.697242363112389,0.2805,106.50319666341107,-10.055566156080955,-1.0
13,True,True,True,True,0.315,0.315,-0.2850579556529846,0.5524864386515788,0.2805,86.44885343211776,-10.055566156080955,-1.0
14,True,True,True,True,0.315,0.315,-0.30579231129727247,0.704475523742041,0.2805,93.14932342399771,-10.055566156080955,-1.0
15,True,True,True,True,0.315,0.315,-0.2567829992738184,0.6960144106101591,0.2805,98.1240539929123,-10.055566156080955,-1.0
16,True,True,True,True,0.315,0.315,-0.15851474512556918,0.6701380910047985,0.2805,77.4763436319976,-10.055566156080955,-1.0
17,True,True,True,True,0.315,0.315,-0.010735385546722931,0.6766694663619537,0.2805,97.62674017277618,-10.055566156080955,-1.0
18,True,True,True,True,0.315,0.315,-0.1585585738653586,0.6851014224751136,0.2805,87.69264857326526,-10.055566156080955,-1.0
19,True,True,True,True,0.315,0.315,-0.13439889892780596,0.6818897367370653,0.2805,92.76268814849837,-10.055566156080955,-1.0
20,True,True,True,True,0.315,0.315,-0.20975931883124438,0.6545357788368877,0.2805,71.24217576130505,-10.055566156080955,-1.0
21,True,True,True,True,0.315,0.315,-0.338856161619908,0.6820835447015563,0.2805,74.75762266151312,-10.055566156080955,-1.0
22,True,True,True,True,0.315,0.315,-0.15065826514943753,0.6730529976464418,0.2805,71.35488732547742,-10.055566156080955,-1.0
23,True,True,True,True,0.315,0.315,-0.045764600502950226,0.6774569433806295,0.2805,81.56231304061788,-10.055566156080955,-1.0
24,True,True,True,True,0.315,0.315,-0.13433783909884794,0.6223938956205731,0.2805,99.72028533826506,-10.055566156080955,-1.0
25,True,True,True,False,0.315,0.315,-0.19537743386298434,0.6667701943967563,0.2805,86.51975326219377,-10.055566156080955,-1.0
26,True,True,True,True,0.315,0.315,-0.04597785992952025,0.6401955763060427,0.2805,95.48013997286958,-10.055566156080955,-1.0
27,True,True,True,True,0.315,0.315,-0.3227501054817652,0.623715255216468,0.2805,73.70047613374358,-10.055566156080955,-1.0
28,True,True,True,True,0.315,0.315,-0.323137709126048,0.6164119854656711,0.2805,81.77093351896657,-10.055566156080955,-1.0
29,True,True,True,True,0.315,0.315,-0.342644654178171,0.5732272748550757,0.2805,86.0656651125965,-10.055566156080955,-1.0
30,True,True,True,True,0.315,0.315,-0.1349731083612744,0.6315065138002626,0.2805,92.65640279592057,-10.055566156080955,-1.0
31,True,True,True,True,0.315,0.315,-0.27042607461401236,0.598956968619924,0.2805,84.58967557206562,-10.055566156080955,-1.0
32,True,True,True,True,0.315,0.315,-0.26534778224292743,0.6578904970938975,0.2805,87.6626235154184,-10.055566156080955,-1.0
33,True,True,True,True,0.315,0.315,-0.25916483050699113,0.5625506275935651,0.2805,74.62055297191688,-10.055566156080955,-1.0
34,True,True,True,True,0.315,0.315,-0.04070940948568569,0.617772986220149,0.2805,103.5198451727687,-10.055566156080955,-1.0
35,True,True,True,True,0.315,0.315,-0.024803669486282875,0.6879383876342842,0.2805,108.01522175427897,-10.055566156080955,-1.0
36,True,True,True,True,0.315,0.315,-0.03222154327351873,0.6299648452403668,0.2805,105.7489186919918,-10.055566156080955,-1.0
37,True,True,True,True,0.315,0.315,-0.010731558938701258,0.6694577898195742,0.2805,85.1999907784189,-10.055566156080955,-1.0
38,True,True,True,True,0.315,0.315,-0.3014760529552422,0.5767882991756144,0.2805,86.67512944740756,-10.055566156080955,-1.0
39,True,True,True,True,0.315,0.315,-0.16605029878184643,0.6213479399280402,0.2805,105.77931427570418,-10.055566156080955,-1.0
40,True,True,True,True,0.315,0.315,-0.022306358772551382,0.6200150198921015,0.2805,108.67693647065869,-10.055566156080955,-1.0
41,True,True,True,True,0.315,0.315,-0.10198654798270584,0.6854633015675274,0.2805,85.67883658858568,-10.055566156080955,-1.0
42,True,True,True,True,0.315,0.315,-0.3101831627897973,0.6783914660464749,0.2805,87.45965692161542,-10.055566156080955,-1.0
43,True,True,True,True,0.315,0.315,-0.325263400369126,0.6668852439138404,0.2805,74.89914723422521,-10.055566156080955,-1.0
44,True,True,True,True,0.315,0.315,-0.09034466051964096,0.6081735462917562,0.2805,107.65775039715868,-10.055566156080955,-1.0
45,True,True,True,True,0.315,0.315,-0.3291562413482223,0.6459943973302972,0.2805,90.20302167121139,-10.055566156080955,-1.0
46,True,True,True,True,0.315,0.315,-0.2370652994745101,0.6317866100785585,0.2805,90.62667111376105,-10.055566156080955,-1.0
47,True,True,True,True,0.315,0.315,-0.09305564182471288,0.6876563499197559,0.2805,78.7983480690243,-10.055566156080955,-1.0
48,True,True,True,True,0.315,0.315,-0.11453084415347592,0.6639696456519433,0.2805,95.82896562695294,-10.055566156080955,-1.0
49,True,True,True,True,0.315,0.315,-0.1343024357959561,0.6881780176040738,0.2805,97.20979303602157,-10.055566156080955,-1.0
50,True,True,True,True,0.315,0.315,-0.2788249995904361,0.6247685779222568,0.2805,101.57102349018152,-10.055566156080955,-1.0
51,True,True,True,True,0.315,0.315,-0.17909253962094848,0.6522435896784249,0.2805,74.60373829166478,-10.055566156080955,-1.0
