j0,j1,j2,j3,j4,j5
1.59734,-1.43125,2.10737,5.60732,0.0771621,3.92674
1.57893,-1.48112,2.16516,5.59927,0.110504,3.92687
1.56174,-1.53163,2.22024,5.59466,0.143899,3.92692
1.54643,-1.58149,2.27109,5.59362,0.176503,3.92695
1.53264,-1.63202,2.31909,5.59615,0.209237,3.92696
1.52056,-1.68325,2.36412,5.60234,0.242237,3.92697
1.5104,-1.73515,2.40608,5.61226,0.275653,3.92698
1.5024,-1.78761,2.44489,5.62592,0.309674,3.92698
1.49684,-1.84047,2.48045,5.64321,0.344536,3.92699
1.49404,-1.89341,2.5127,5.6639,0.380532,3.92699
1.49439,-1.94604,2.5416,5.68763,0.418013,3.92699
1.49832,-1.99775,2.56713,5.71381,0.45739,3.92699
1.50633,-2.04784,2.58933,5.7417,0.499138,3.92699
1.51895,-2.09541,2.60827,5.77033,0.543774,3.92699
1.53674,-2.1395,2.62409,5.7986,0.591833,3.92699
1.56019,-2.17912,2.63696,5.82535,0.643818,3.92699
1.58967,-2.21336,2.64712,5.84943,0.700128,3.92699
1.63476,-2.23534,2.65308,5.86545,0.770383,3.92699
1.67538,-2.25828,2.65917,5.88229,0.834977,3.92699
1.72145,-2.27471,2.66326,5.89463,0.903457,3.92699
1.75089,-2.27749,2.66393,5.89674,0.943713,3.92699
1.78033,-2.28027,2.6646,5.89885,0.98397,3.92699
1.80978,-2.28304,2.66527,5.90096,1.02423,3.92699
1.83057,-2.285,2.66574,5.90245,1.05265,3.92699
1.83226,-2.28511,2.66577,5.90253,1.05495,3.92699
1.86195,-2.28691,2.6662,5.9039,1.09511,3.92699
1.89113,-2.28869,2.66663,5.90524,1.13459,3.92699
1.93445,-2.28456,2.66564,5.9021,1.19053,3.92699
1.98002,-2.27835,2.66415,5.89738,1.24881,3.92699
2.02759,-2.27012,2.66214,5.89117,1.30919,3.92699
2.07689,-2.25997,2.6596,5.88356,1.37142,3.92699
2.1276,-2.248,2.65652,5.87466,1.43521,3.92699
2.17941,-2.23434,2.6529,5.86463,1.50026,3.92699
2.23199,-2.21911,2.6487,5.85359,1.56627,3.92699
2.28501,-2.20244,2.64392,5.8417,1.63292,3.92699
2.33815,-2.18446,2.63855,5.8291,1.69993,3.92699
2.39112,-2.16531,2.63255,5.81595,1.76701,3.92699
2.44364,-2.14511,2.62592,5.80238,1.8339,3.92699
2.49545,-2.12398,2.61864,5.78853,1.90036,3.92699
2.54634,-2.10203,2.61068,5.77454,1.9662,3.92699
2.59609,-2.07937,2.60204,5.76052,2.03121,3.92699
2.64454,-2.0561,2.5927,5.74659,2.09524,3.92699
2.69153,-2.03231,2.58264,5.73285,2.15816,3.92699
2.73694,-2.00808,2.57185,5.71942,2.21985,3.92699
2.78068,-1.98349,2.56031,5.70637,2.28023,3.92699
2.82267,-1.95862,2.54802,5.69379,2.33922,3.92699
2.86284,-1.93353,2.53496,5.68175,2.39677,3.92699
2.90117,-1.90827,2.52114,5.67032,2.45286,3.92699
2.93761,-1.88291,2.50654,5.65956,2.50745,3.92699
2.97217,-1.85749,2.49117,5.64951,2.56055,3.92699
3.00485,-1.83206,2.47502,5.64023,2.61216,3.92699
3.03567,-1.80664,2.45809,5.63173,2.6623,3.92699
3.06464,-1.78126,2.4404,5.62406,2.71098,3.92699
3.0918,-1.75597,2.42193,5.61723,2.75824,3.92699
3.11719,-1.73078,2.40272,5.61125,2.80411,3.92699
3.14085,-1.7057,2.38276,5.60614,2.84862,3.927
3.16284,-1.68076,2.36206,5.6019,2.89184,3.927
3.1832,-1.65597,2.34064,5.59852,2.93378,3.927
3.20199,-1.63133,2.31851,5.59601,2.97451,3.927
3.21927,-1.60685,2.29569,5.59436,3.01407,3.927
3.2351,-1.58254,2.2722,5.59355,3.05251,3.92701
3.24689,-1.55925,2.24747,5.59499,3.08723,3.92701
3.26246,-1.53462,2.22346,5.5949,3.12574,3.92754
3.27318,-1.5112,2.19781,5.59694,3.16001,3.92735
3.2839,-1.48778,2.17216,5.59898,3.19428,3.92716
3.29166,-1.47082,2.15358,5.60045,3.2191,3.92702
3.29849,-1.44715,2.12478,5.60559,3.2513,3.92702
3.30851,-1.42238,2.09679,5.60878,3.28668,3.927
3.31432,-1.39872,2.06723,5.61469,3.31826,3.92701
3.32013,-1.37506,2.03766,5.62061,3.34984,3.92701
3.32484,-1.35587,2.01368,5.6254,3.37546,3.92701
