j0,j1,j2,j3,j4,j5
0.932176,-1.51675,2.29754,-0.780772,0.366787,3.92698
0.932104,-1.55207,2.33518,-0.783109,0.403426,3.92699
0.933454,-1.58829,2.37151,-0.783206,0.441492,3.92699
0.93703,-1.62442,2.40568,-0.781265,0.480951,3.92699
0.943129,-1.6603,2.43768,-0.777375,0.52213,3.92699
0.952033,-1.69583,2.46745,-0.771625,0.565342,3.92699
0.964064,-1.73081,2.49496,-0.764152,0.610948,3.92699
0.979588,-1.76499,2.52015,-0.755157,0.659356,3.92699
0.999014,-1.79806,2.54298,-0.744912,0.71102,3.92699
1.02279,-1.82961,2.56338,-0.733772,0.766441,3.92699
1.05139,-1.85913,2.58131,-0.72218,0.826151,3.92699
1.0853,-1.88606,2.59672,-0.710658,0.8907,3.92699
1.12498,-1.90975,2.60954,-0.699797,0.960617,3.92699
1.1708,-1.92953,2.61975,-0.690223,1.03637,3.92699
1.22301,-1.94474,2.62729,-0.682549,1.11829,3.92699
1.25154,-1.95045,2.63004,-0.679599,1.16162,3.92699
1.28166,-1.9548,2.63212,-0.677318,1.20653,3.92699
1.31334,-1.95776,2.63351,-0.675754,1.253,3.92699
1.34653,-1.95927,2.63421,-0.67494,1.30099,3.92699
1.38114,-1.95931,2.63421,-0.674897,1.35043,3.92699
1.41708,-1.95787,2.6335,-0.675633,1.40125,3.92699
1.45424,-1.95496,2.63209,-0.677139,1.45334,3.92699
1.49248,-1.95058,2.62997,-0.679394,1.50659,3.92699
1.53165,-1.94476,2.62713,-0.682361,1.56087,3.92699
1.57159,-1.93756,2.62356,-0.685993,1.61603,3.92699
1.61213,-1.92902,2.61925,-0.690228,1.67192,3.92699
1.65308,-1.91921,2.61421,-0.694999,1.72837,3.92699
1.69428,-1.90819,2.60842,-0.700227,1.78522,3.92699
1.73553,-1.89605,2.60188,-0.705831,1.8423,3.92699
1.77667,-1.88286,2.59458,-0.711724,1.89945,3.92699
1.81751,-1.8687,2.58652,-0.717819,1.95652,3.92699
1.8579,-1.85366,2.57769,-0.724027,2.01335,3.92699
1.89768,-1.83782,2.56808,-0.730262,2.06981,3.92699
1.93672,-1.82126,2.5577,-0.736441,2.12577,3.92699
1.97489,-1.80405,2.54654,-0.742484,2.18112,3.92699
2.01207,-1.78627,2.53459,-0.748316,2.23575,3.92699
2.04818,-1.768,2.52186,-0.753868,2.28958,3.92699
2.08312,-1.74928,2.50835,-0.759076,2.34253,3.92699
2.11684,-1.73018,2.49406,-0.763884,2.39453,3.92699
2.14926,-1.71076,2.479,-0.76824,2.44554,3.92699
2.18034,-1.69106,2.46316,-0.772099,2.49551,3.92699
2.21006,-1.67112,2.44655,-0.775424,2.54442,3.92699
2.2384,-1.651,2.42918,-0.778182,2.59224,3.92699
2.26533,-1.63072,2.41106,-0.780346,2.63897,3.92699
2.29087,-1.61031,2.3922,-0.781895,2.6846,3.92699
2.31501,-1.5898,2.37261,-0.782813,2.72914,3.92699
2.33776,-1.56921,2.3523,-0.783088,2.77259,3.92699
2.35915,-1.54856,2.33128,-0.782713,2.81496,3.92699
2.3792,-1.52787,2.30956,-0.781685,2.85629,3.92699
2.39793,-1.50716,2.28717,-0.780003,2.89658,3.92699
2.41538,-1.48643,2.2641,-0.77767,2.93587,3.927
2.42917,-1.46612,2.23975,-0.773602,2.97175,3.92703
2.44641,-1.4452,2.21633,-0.771114,3.0111,3.927
2.45922,-1.42465,2.19108,-0.76636,3.04651,3.92705
2.47202,-1.40411,2.16583,-0.761606,3.08192,3.9271
2.48054,-1.39042,2.14901,-0.75844,3.1055,3.92714
2.49215,-1.36821,2.1205,-0.75118,3.14183,3.92811
2.50258,-1.34641,2.09187,-0.745233,3.17718,3.92723
2.51188,-1.32458,2.06258,-0.737958,3.21152,3.92702
2.5181,-1.30315,2.03203,-0.728849,3.24292,3.92702
2.52729,-1.28123,2.00254,-0.721302,3.27728,3.927
2.53262,-1.25976,1.97137,-0.711604,3.30802,3.927
2.53795,-1.23829,1.9402,-0.701906,3.33876,3.927
2.54327,-1.21682,1.90903,-0.692209,3.36951,3.92699
2.54381,-1.21466,1.90589,-0.691231,3.37261,3.92699
2.5475,-1.19299,1.87335,-0.680352,3.40225,3.92699
2.54882,-1.17158,1.83957,-0.667989,3.42955,3.92699
2.55261,-1.14992,1.80715,-0.657226,3.45932,3.92699
2.55328,-1.12855,1.77298,-0.644432,3.48599,3.92699
2.55395,-1.10717,1.73882,-0.631637,3.51267,3.927
2.55462,-1.0858,1.70465,-0.618842,3.53934,3.927
2.55515,-1.0688,1.67748,-0.608667,3.56055,3.927
