j0,j1,j2,j3,j4,j5
-2.6837,-1.58479,-2.34073,-2.35767,-1.27935,3.92699
-2.64849,-1.56551,-2.36113,-2.35655,-1.22302,3.92699
-2.61023,-1.54599,-2.38025,-2.35694,-1.16375,3.92699
-2.57007,-1.52714,-2.39811,-2.35794,-1.10268,3.92699
-2.52817,-1.50911,-2.41467,-2.35941,-1.03998,3.92699
-2.48467,-1.49204,-2.42989,-2.36126,-0.975751,3.92699
-2.43973,-1.47608,-2.44371,-2.3634,-0.910169,3.92699
-2.39357,-1.46138,-2.45608,-2.36572,-0.843438,3.92699
-2.34439,-1.44762,-2.46721,-2.36836,-0.773298,3.92699
-2.29492,-1.43565,-2.4768,-2.37074,-0.702701,3.92699
-2.24462,-1.42548,-2.48478,-2.37293,-0.631094,3.92699
-2.19381,-1.41733,-2.49106,-2.37481,-0.558806,3.92699
-2.14294,-1.41142,-2.49553,-2.37625,-0.486256,3.927
-2.09248,-1.40794,-2.49811,-2.37714,-0.413906,3.927
-2.04292,-1.40705,-2.49872,-2.37743,-0.342241,3.927
-1.99473,-1.40884,-2.49731,-2.37706,-0.271745,3.92701
-1.94839,-1.41334,-2.49382,-2.37605,-0.202877,3.92702
-1.90427,-1.42054,-2.48823,-2.37447,-0.136045,3.92705
-1.86272,-1.43034,-2.48053,-2.37247,-0.071591,3.92714
-1.82398,-1.44273,-2.4706,-2.37081,-0.0097723,3.92794
-1.78819,-1.45745,-2.45856,-2.36935,0.0492463,3.92916
-1.75542,-1.47318,-2.44531,-2.36434,0.105385,3.92664
-1.72569,-1.49135,-2.42957,-2.36239,0.158577,3.92711
-1.6989,-1.51082,-2.41215,-2.36023,0.208911,3.92701
-1.67494,-1.5315,-2.39304,-2.35867,0.256477,3.92701
-1.65366,-1.55313,-2.37234,-2.35772,0.301409,3.927
-1.63489,-1.57552,-2.35019,-2.35749,0.34386,3.927
-1.61843,-1.59846,-2.32667,-2.35806,0.383994,3.927
-1.60411,-1.62182,-2.30191,-2.35946,0.421981,3.927
-1.59175,-1.64547,-2.276,-2.36172,0.457987,3.92699
-1.58117,-1.66931,-2.24903,-2.36485,0.492172,3.92699
-1.57221,-1.69325,-2.2211,-2.36885,0.524687,3.92699
-1.56472,-1.71722,-2.19227,-2.37369,0.555674,3.92699
-1.55359,-1.76512,-2.13222,-2.38585,0.613566,3.92699
-1.54682,-1.81274,-2.06937,-2.40107,0.666753,3.92699
-1.54361,-1.85996,-2.00412,-2.41911,0.715975,3.92699
-1.5433,-1.90674,-1.93675,-2.4397,0.761826,3.92699
-1.54668,-1.95338,-1.86538,-2.46443,0.803467,3.92699
-1.55024,-1.99944,-1.79475,-2.48899,0.844448,3.92699
-1.55559,-2.04503,-1.72252,-2.51563,0.882823,3.92699
-1.55916,-2.06795,-1.68486,-2.53037,0.900868,3.92699
-1.56019,-2.07455,-1.67402,-2.53461,0.90606,3.92699
-1.56717,-2.1182,-1.60219,-2.56279,0.940342,3.92699
-1.57506,-2.16182,-1.52884,-2.59253,0.97309,3.92699
-1.57958,-2.18405,-1.4904,-2.60874,0.988731,3.92699
-1.58411,-2.20629,-1.45195,-2.62495,1.00437,3.92699
-1.58863,-2.22852,-1.41351,-2.64115,1.02001,3.92699
-1.59156,-2.24293,-1.3886,-2.65166,1.03015,3.92699
-1.59967,-2.27988,-1.32297,-2.68034,1.05423,3.92699
-1.60798,-2.31696,-1.25626,-2.70996,1.07738,3.92699
-1.61642,-2.35426,-1.18836,-2.74056,1.09963,3.92699
-1.62493,-2.39191,-1.11908,-2.7722,1.12102,3.92699
-1.6294,-2.41293,-1.07929,-2.79096,1.1312,3.92699
-1.63792,-2.45126,-1.00782,-2.82411,1.15153,3.92699
-1.64638,-2.49026,-0.934372,-2.85856,1.17102,3.92699
-1.65068,-2.51116,-0.894452,-2.87757,1.18047,3.92699
-1.65498,-2.53207,-0.854531,-2.89659,1.18992,3.92699
-1.65928,-2.55297,-0.814611,-2.9156,1.19937,3.92699
-1.66211,-2.56675,-0.788302,-2.92813,1.20559,3.92699
-1.66782,-2.59711,-0.729512,-2.95657,1.21763,3.92699
-1.67331,-2.62795,-0.669395,-2.98584,1.22901,3.92699
-1.67855,-2.65944,-0.60762,-3.01612,1.23971,3.92699
-1.68355,-2.6958,-0.535394,-3.052,1.24969,3.92699
-1.68829,-2.72927,-0.468988,-3.08494,1.25916,3.92699
-1.6906,-2.74951,-0.428375,-3.1053,1.26369,3.92699
-1.69291,-2.76975,-0.387762,-3.12567,1.26822,3.92699
-1.69522,-2.79,-0.347149,-3.14604,1.27275,3.92699
-1.69753,-2.81024,-0.306536,-3.16641,1.27729,3.92699
-1.69764,-2.81119,-0.304637,-3.16736,1.2775,3.92699
