j0,j1,j2,j3,j4,j5
-1.42487,-2.09388,-1.62721,0.57757,2.73985,0.782653
-1.42753,-2.07162,-1.66348,0.593974,2.71617,0.785815
-1.42992,-2.04964,-1.69936,0.60741,2.69308,0.785399
-1.43166,-2.02752,-1.7347,0.620632,2.66935,0.785399
-1.43289,-2.00533,-1.76969,0.633426,2.6451,0.785399
-1.43356,-1.98306,-1.80432,0.645785,2.6203,0.785399
-1.43364,-1.96067,-1.83862,0.657696,2.5949,0.785399
-1.43308,-1.93815,-1.87259,0.669144,2.56888,0.785398
-1.43184,-1.91547,-1.90624,0.680112,2.54216,0.785398
-1.42986,-1.8926,-1.93958,0.69058,2.51471,0.785398
-1.42624,-1.86526,-1.9786,0.702275,2.48131,0.785397
-1.42177,-1.83836,-2.01615,0.712916,2.44753,0.785398
-1.41612,-1.81153,-2.05269,0.722623,2.41305,0.785398
-1.40923,-1.78473,-2.08825,0.731386,2.37781,0.785398
-1.40105,-1.75792,-2.12286,0.73919,2.34172,0.785398
-1.39149,-1.73107,-2.15654,0.746019,2.3047,0.785398
-1.38047,-1.70414,-2.1893,0.751851,2.26668,0.785398
-1.3679,-1.67709,-2.22116,0.756664,2.22754,0.785398
-1.3537,-1.64988,-2.25214,0.76043,2.18718,0.785398
-1.33775,-1.62246,-2.28225,0.763118,2.14548,0.785398
-1.31993,-1.59478,-2.31151,0.764695,2.1023,0.785398
-1.30012,-1.5668,-2.33991,0.765123,2.05751,0.785398
-1.27816,-1.53847,-2.36748,0.764359,2.01094,0.785398
-1.2539,-1.50974,-2.39421,0.762357,1.96241,0.785398
-1.22714,-1.48054,-2.42012,0.759066,1.91171,0.785398
-1.19769,-1.45082,-2.4452,0.75443,1.85862,0.785398
-1.16532,-1.42052,-2.46946,0.74839,1.80289,0.785398
-1.12977,-1.38958,-2.4929,0.74088,1.74424,0.785398
-1.09075,-1.35793,-2.5155,0.731833,1.68234,0.785398
-1.04794,-1.3255,-2.53726,0.721176,1.61685,0.785398
-1.00096,-1.29225,-2.55818,0.708837,1.54734,0.785398
-0.949419,-1.2581,-2.57823,0.694741,1.47338,0.785398
-0.921793,-1.24068,-2.58792,0.687013,1.43458,0.785398
-0.89285,-1.22302,-2.59739,0.678821,1.39446,0.785398
-0.862525,-1.20512,-2.60663,0.670158,1.35296,0.785398
-0.83075,-1.18697,-2.61564,0.661019,1.31,0.785397
-0.797456,-1.16859,-2.62441,0.651401,1.26551,0.785397
-0.762569,-1.14996,-2.63293,0.641302,1.2194,0.785397
-0.726016,-1.13111,-2.6412,0.630724,1.17158,0.785397
-0.687723,-1.11205,-2.64921,0.619674,1.12196,0.785397
-0.647616,-1.0928,-2.65696,0.608164,1.07047,0.785396
-0.605625,-1.07338,-2.66442,0.596212,1.01701,0.785396
-0.561685,-1.05384,-2.6716,0.583847,0.961507,0.785395
-0.515741,-1.03423,-2.67847,0.571111,0.903876,0.785394
-0.467754,-1.01463,-2.68502,0.558061,0.844062,0.785394
-0.417707,-0.995128,-2.69123,0.544773,0.782021,0.785393
-0.365615,-0.975861,-2.69708,0.531353,0.717742,0.785391
-0.311541,-0.956991,-2.70253,0.517939,0.651255,0.785389
-0.255606,-0.938733,-2.70756,0.504713,0.58265,0.785387
-0.198019,-0.921361,-2.71212,0.491909,0.512093,0.785383
-0.139093,-0.905221,-2.71618,0.479826,0.439859,0.785378
-0.0792733,-0.890739,-2.71966,0.468835,0.366351,0.78537
-0.0191638,-0.878428,-2.72251,0.459385,0.292128,0.785357
0.0404649,-0.868881,-2.72464,0.451994,0.217919,0.785332
0.0986864,-0.862745,-2.72596,0.447241,0.144615,0.785275
0.154468,-0.860702,-2.72638,0.445796,0.073223,0.785089
0.206783,-0.863909,-2.72564,0.449858,0.00475704,0.783493
0.254664,-0.870825,-2.72405,0.454136,-0.0598346,0.78455
0.297452,-0.882853,-2.7213,0.462553,-0.119831,0.785403
0.334729,-0.900157,-2.71717,0.475776,-0.174784,0.785353
0.366526,-0.921852,-2.71173,0.491997,-0.224704,0.785387
0.393131,-0.947346,-2.70493,0.510688,-0.269851,0.785394
0.415006,-0.975931,-2.69677,0.531106,-0.310662,0.785398
0.432689,-1.00691,-2.68723,0.552551,-0.347663,0.785399
0.440595,-1.04009,-2.67411,0.572614,-0.375265,0.785397
0.457357,-1.073,-2.6643,0.595714,-0.411721,0.7854
0.462792,-1.10752,-2.64965,0.615584,-0.437596,0.785397
0.468226,-1.14204,-2.635,0.635455,-0.463471,0.785394
0.473661,-1.17656,-2.62035,0.655325,-0.489346,0.785391
0.474732,-1.18336,-2.61747,0.659241,-0.494445,0.785391
0.476787,-1.22076,-2.59867,0.677842,-0.519645,0.785392
0.477149,-1.25825,-2.57824,0.694911,-0.543882,0.785393
0.475985,-1.2957,-2.55618,0.710293,-0.567347,0.785394
0.473436,-1.333,-2.53247,0.723876,-0.590205,0.785395
0.469618,-1.37007,-2.5071,0.735581,-0.612594,0.785395
0.464633,-1.40689,-2.48006,0.745361,-0.634637,0.785396
0.458563,-1.44342,-2.45136,0.753189,-0.656436,0.785396
0.45148,-1.47968,-2.42097,0.759058,-0.678082,0.785397
0.44405,-1.5157,-2.3887,0.76282,-0.700253,0.785389
