j0,j1,j2,j3,j4,j5
-0.563335,-1.7667,-2.08156,-2.43473,-1.93117,-2.35513
-0.551121,-1.75129,-2.10073,-2.43102,-1.90342,-2.35543
-0.535549,-1.73165,-2.12516,-2.4263,-1.86803,-2.35581
-0.519977,-1.71202,-2.1496,-2.42157,-1.83264,-2.35619
-0.50045,-1.69275,-2.17148,-2.41892,-1.79362,-2.35597
-0.484032,-1.67344,-2.19496,-2.41479,-1.75771,-2.35619
-0.464343,-1.6543,-2.21668,-2.4122,-1.71872,-2.35619
-0.443545,-1.63534,-2.23768,-2.41017,-1.67881,-2.35619
-0.42163,-1.61659,-2.25794,-2.40866,-1.63798,-2.35619
-0.398595,-1.59807,-2.27744,-2.40768,-1.59624,-2.35619
-0.374443,-1.57982,-2.29617,-2.40719,-1.55359,-2.35619
-0.349182,-1.56186,-2.31413,-2.40719,-1.51004,-2.35619
-0.322827,-1.54423,-2.33131,-2.40765,-1.4656,-2.35619
-0.295401,-1.52696,-2.34769,-2.40854,-1.4203,-2.35619
-0.266934,-1.5101,-2.36327,-2.40982,-1.37417,-2.35619
-0.237465,-1.49368,-2.37804,-2.41147,-1.32724,-2.35619
-0.207041,-1.47775,-2.392,-2.41343,-1.27956,-2.35619
-0.175719,-1.46236,-2.40515,-2.41568,-1.23118,-2.35619
-0.143565,-1.44756,-2.41747,-2.41815,-1.18216,-2.35619
-0.110655,-1.4334,-2.42898,-2.42081,-1.13257,-2.35619
-0.0770739,-1.41994,-2.43966,-2.42359,-1.08249,-2.35619
-0.0429145,-1.40722,-2.44951,-2.42645,-1.032,-2.35619
-0.00827885,-1.39532,-2.45855,-2.42932,-0.981192,-2.35619
0.0267238,-1.38427,-2.46676,-2.43216,-0.930171,-2.35619
0.0619781,-1.37413,-2.47415,-2.43491,-0.879042,-2.35619
0.0973633,-1.36496,-2.48071,-2.43751,-0.827912,-2.35619
0.132755,-1.3568,-2.48647,-2.43992,-0.776895,-2.35619
0.168029,-1.3497,-2.4914,-2.44208,-0.726106,-2.35619
0.203057,-1.34369,-2.49553,-2.44396,-0.675657,-2.35619
0.237716,-1.33882,-2.49885,-2.44552,-0.62566,-2.35619
0.271885,-1.3351,-2.50136,-2.44672,-0.576224,-2.35619
0.305451,-1.33256,-2.50308,-2.44755,-0.52745,-2.35619
0.338304,-1.33121,-2.50399,-2.44799,-0.479433,-2.35619
0.370345,-1.33104,-2.50412,-2.44803,-0.432259,-2.35619
0.401487,-1.33207,-2.50345,-2.44767,-0.386005,-2.35619
0.431649,-1.33427,-2.502,-2.44693,-0.340737,-2.35619
0.460766,-1.33762,-2.49976,-2.44581,-0.296509,-2.35619
0.488782,-1.34209,-2.49675,-2.44435,-0.253365,-2.35619
0.515653,-1.34766,-2.49296,-2.44258,-0.211335,-2.35618
0.565841,-1.36189,-2.48308,-2.43824,-0.130695,-2.35616
0.611197,-1.38005,-2.47009,-2.43346,-0.0546359,-2.35578
0.651731,-1.40215,-2.45365,-2.4303,0.0169364,-2.35328
0.68756,-1.42582,-2.43532,-2.42216,0.0842114,-2.35608
0.718892,-1.45273,-2.41351,-2.41698,0.147465,-2.35616
0.745979,-1.48181,-2.3888,-2.4126,0.207013,-2.35617
0.769102,-1.51267,-2.36124,-2.40929,0.263193,-2.35618
0.788552,-1.54503,-2.33086,-2.40731,0.316347,-2.35618
0.804612,-1.57863,-2.29769,-2.40687,0.366802,-2.35619
0.817554,-1.61328,-2.26176,-2.40815,0.414874,-2.35619
0.827632,-1.64883,-2.22308,-2.41128,0.46085,-2.35619
0.83508,-1.68516,-2.18167,-2.41636,0.504996,-2.35619
0.840109,-1.72221,-2.13752,-2.42346,0.547551,-2.35619
0.842913,-1.75993,-2.09062,-2.43263,0.588729,-2.35619
0.843664,-1.79832,-2.04095,-2.44393,0.628722,-2.35619
0.842519,-1.83737,-1.98845,-2.45737,0.667697,-2.35619
0.839619,-1.87711,-1.93309,-2.47298,0.705804,-2.35619
0.835091,-1.9176,-1.87478,-2.49081,0.743172,-2.35619
0.829051,-1.95889,-1.81344,-2.51087,0.779913,-2.35619
0.821605,-2.00106,-1.74892,-2.53321,0.816124,-2.35619
0.812852,-2.04422,-1.68107,-2.55789,0.851887,-2.35619
0.802882,-2.08849,-1.6097,-2.58499,0.887272,-2.35619
0.797468,-2.11109,-1.57261,-2.59949,0.90484,-2.35619
0.791781,-2.13403,-1.53453,-2.61463,0.922333,-2.35619
0.785833,-2.15732,-1.49543,-2.63044,0.939757,-2.35619
0.779596,-2.18101,-1.45527,-2.64692,0.95708,-2.35619
0.773214,-2.20679,-1.41096,-2.66528,0.974431,-2.3558
