j0,j1,j2,j3,j4,j5
0.159207,-0.425856,0.52927,-0.104596,-0.581344,-2.35518
0.14345,-0.446166,0.569656,-0.12433,-0.575113,-2.35527
0.112815,-0.480929,0.638428,-0.158377,-0.562209,-2.35523
0.0823262,-0.513434,0.702338,-0.189806,-0.54973,-2.35521
0.0519787,-0.544139,0.762356,-0.219142,-0.53768,-2.35519
0.0217659,-0.573408,0.81924,-0.246779,-0.526064,-2.35517
-0.00831996,-0.601496,0.873517,-0.272989,-0.514887,-2.35515
-0.0382869,-0.628585,0.925568,-0.297972,-0.504153,-2.35513
-0.0681437,-0.654813,0.975679,-0.321874,-0.493867,-2.35511
-0.0978991,-0.680286,1.02407,-0.34481,-0.484032,-2.3551
-0.127563,-0.705088,1.07091,-0.366868,-0.474654,-2.35508
-0.157144,-0.729286,1.11635,-0.388119,-0.465737,-2.35507
-0.186653,-0.752936,1.16048,-0.408623,-0.457284,-2.35505
-0.2161,-0.776082,1.20342,-0.428426,-0.449301,-2.35504
-0.245496,-0.798765,1.24523,-0.447569,-0.441793,-2.35503
-0.274851,-0.821017,1.28599,-0.466084,-0.434764,-2.35502
-0.304178,-0.842866,1.32575,-0.484,-0.428219,-2.35502
-0.333486,-0.864338,1.36456,-0.501343,-0.422163,-2.35501
-0.362789,-0.885455,1.40246,-0.518131,-0.416602,-2.35501
-0.392099,-0.906235,1.43949,-0.534385,-0.41154,-2.35501
-0.421427,-0.926697,1.47569,-0.55012,-0.406985,-2.35501
-0.450786,-0.946857,1.51108,-0.56535,-0.402941,-2.35501
-0.480191,-0.966728,1.54569,-0.580087,-0.399414,-2.35502
-0.509653,-0.986323,1.57955,-0.594342,-0.396412,-2.35503
-0.539186,-1.00566,1.61267,-0.608125,-0.393941,-2.35504
-0.568806,-1.02474,1.64508,-0.621445,-0.392008,-2.35505
-0.598525,-1.04357,1.6768,-0.634309,-0.390619,-2.35507
-0.643323,-1.0714,1.72311,-0.652765,-0.389575,-2.3551
-0.688428,-1.09873,1.76794,-0.670232,-0.3898,-2.35513
-0.733895,-1.1256,1.81134,-0.686727,-0.391323,-2.35517
-0.779774,-1.15202,1.85334,-0.702265,-0.394173,-2.35522
-0.826122,-1.17802,1.89399,-0.71686,-0.39838,-2.35527
-0.872995,-1.20362,1.9333,-0.730523,-0.403977,-2.35533
-0.92045,-1.22884,1.97132,-0.743264,-0.410996,-2.35539
-0.968545,-1.25369,2.00805,-0.755094,-0.419472,-2.35545
-1.01734,-1.27818,2.04353,-0.76602,-0.429439,-2.35551
-1.06689,-1.30233,2.07777,-0.776051,-0.440931,-2.35558
-1.11726,-1.32614,2.11079,-0.785197,-0.453985,-2.35565
-1.1685,-1.34961,2.14259,-0.793465,-0.468633,-2.35572
-1.22067,-1.37275,2.17319,-0.800867,-0.484907,-2.35579
-1.27383,-1.39555,2.2026,-0.807413,-0.502838,-2.35586
-1.32803,-1.41801,2.23082,-0.813117,-0.522453,-2.35593
-1.36749,-1.4339,2.25039,-0.817028,-0.53788,-2.35552
-1.36698,-1.4333,2.25019,-0.817752,-0.537676,-2.35604
