Waypoint,j0,j1,j2,j3,j4,j5
0,1.1526,-0.680207,0.815832,-3.25984,-0.0528593,0.767447
1,1.14809,-0.711586,0.873935,-3.3004,-0.0750581,0.781838
2,1.14357,-0.743428,0.931921,-3.32957,-0.096873,0.784882
3,1.13935,-0.774443,0.987803,-3.35492,-0.118868,0.785361
4,1.13542,-0.804518,1.04142,-3.3785,-0.141215,0.785409
5,1.13178,-0.833646,1.09277,-3.40073,-0.163891,0.785407
6,1.12845,-0.86193,1.14209,-3.42176,-0.186897,0.785403
7,1.12545,-0.88946,1.18956,-3.44169,-0.210231,0.785401
8,1.1228,-0.916309,1.23532,-3.46061,-0.233898,0.785399
9,1.12053,-0.942534,1.2795,-3.47856,-0.257899,0.785399
10,1.11863,-0.968162,1.32216,-3.49559,-0.282223,0.785398
11,1.11717,-0.993292,1.36349,-3.51179,-0.306929,0.785397
12,1.11614,-1.01793,1.40351,-3.52717,-0.332004,0.785397
13,1.11557,-1.04209,1.44227,-3.54177,-0.357457,0.785397
14,1.11548,-1.06581,1.47981,-3.55559,-0.383297,0.785398
15,1.11589,-1.08908,1.51616,-3.56868,-0.409534,0.785398
16,1.11683,-1.11192,1.55137,-3.58103,-0.436178,0.785398
17,1.11832,-1.13434,1.58543,-3.59268,-0.46324,0.785398
18,1.12039,-1.15633,1.61839,-3.60364,-0.490732,0.785398
19,1.12631,-1.19904,1.681,-3.62355,-0.547055,0.785398
20,1.13479,-1.24002,1.73929,-3.64087,-0.60525,0.785398
21,1.14599,-1.27917,1.79331,-3.65573,-0.665425,0.785398
22,1.16006,-1.31641,1.84308,-3.66827,-0.727686,0.785398
23,1.17713,-1.35158,1.88863,-3.67864,-0.792135,0.785398
24,1.19732,-1.38452,1.92995,-3.68703,-0.858861,0.785398
25,1.2207,-1.41505,1.96708,-3.69362,-0.927934,0.785398
26,1.2473,-1.44296,2.00002,-3.69865,-0.999396,0.785398
27,1.27711,-1.46806,2.0288,-3.70233,-1.07325,0.785398
28,1.31005,-1.49014,2.05346,-3.70492,-1.14946,0.785398
29,1.34598,-1.50902,2.07406,-3.70663,-1.22793,0.785398
30,1.3847,-1.52453,2.09064,-3.7077,-1.30851,0.785398
31,1.42593,-1.53656,2.10329,-3.70832,-1.391,0.785398
32,1.46934,-1.54502,2.11207,-3.70864,-1.47512,0.785398
33,1.51452,-1.54988,2.11707,-3.70878,-1.56056,0.785398
34,1.56158,-1.54908,2.11624,-3.70875,-1.64749,0.785398
35,1.60873,-1.54771,2.11483,-3.70871,-1.73429,0.785398
36,1.63268,-1.54498,2.11201,-3.70862,-1.77801,0.785398
37,1.65664,-1.54225,2.10918,-3.70853,-1.82172,0.785398
38,1.67417,-1.54025,2.10712,-3.70846,-1.85372,0.785398
39,1.69773,-1.53419,2.1007,-3.7081,-1.89692,0.785398
40,1.72129,-1.52814,2.09428,-3.70774,-1.94013,0.785398
41,1.74308,-1.52253,2.08835,-3.70741,-1.9801,0.785398
42,1.76357,-1.51731,2.08281,-3.7071,-2.01766,0.785398
43,1.78662,-1.50936,2.07423,-3.70646,-2.06046,0.785398
44,1.80967,-1.50141,2.06564,-3.70583,-2.10325,0.785398
45,1.83272,-1.49346,2.05706,-3.70519,-2.14605,0.785398
46,1.83749,-1.49181,2.05528,-3.70506,-2.15492,0.785398
47,1.85921,-1.48101,2.0431,-3.70368,-2.19689,0.785398
48,1.88092,-1.4702,2.03091,-3.7023,-2.23886,0.785397
49,1.90263,-1.45939,2.01872,-3.70092,-2.28082,0.785397
50,1.90898,-1.45623,2.01516,-3.70052,-2.2931,0.785397
51,1.92984,-1.44404,2.00115,-3.6987,-2.33453,0.785396
52,1.9507,-1.43186,1.98713,-3.69687,-2.37596,0.785394
53,1.96377,-1.42421,1.97834,-3.69573,-2.40195,0.785393
54,1.96925,-1.42093,1.97456,-3.69523,-2.41287,0.785393
55,1.9937,-1.40365,1.9533,-3.69125,-2.46421,0.785398
