path_found,traj_success,contact_free,door_opened,door_width,door_height,x,y,z,rot_z,axis_pos
True,True,True,True,0.396,0.496,-0.23390909091957188,0.6468227769292677,0.257,2.453959030822901,-1.0
True,True,True,True,0.396,0.496,-0.29480914161551364,0.5070513205427302,0.257,-1.803753761320472,-1.0
True,True,True,True,0.396,0.496,-0.26028894676313485,0.6134459215924849,0.257,-10.661651975773921,-1.0
True,True,True,True,0.396,0.496,-0.2204401373043178,0.510633861991548,0.257,0.5288849724936604,-1.0
True,True,True,True,0.396,0.496,-0.1150429832495167,0.527340419972441,0.257,-15.337752181931528,-1.0
True,True,True,True,0.396,0.496,-0.195828108452332,0.5095857607405708,0.257,-16.25139026734933,-1.0
True,True,True,True,0.396,0.496,-0.29033668382768874,0.549508547417194,0.257,-12.363299137085866,-1.0
False,False,True,False,0.396,0.496,-0.30511600211732737,0.4871276055093138,0.257,-17.225049292103186,-1.0
True,True,True,True,0.396,0.496,-0.051739789097501765,0.5429154267832966,0.257,1.312084334762357,-1.0
True,True,True,True,0.396,0.496,-0.24769799254590283,0.7034526512011504,0.257,-8.748873808438638,-1.0
True,True,True,True,0.396,0.496,-0.2143157710625684,0.584305547293687,0.257,3.6632453019585896,-1.0
True,True,True,True,0.396,0.496,-0.10990475699804586,0.41651061264335615,0.257,7.76943514089497,-1.0
True,True,True,True,0.396,0.496,-0.1628942759971929,0.5191672536055336,0.257,-3.903116136685398,-1.0
False,False,True,False,0.396,0.496,-0.3596371403075937,0.46852178856065796,0.257,-15.442265527795143,-1.0
True,True,True,True,0.396,0.496,-0.10122077194850682,0.59529281073827,0.257,-9.38283970639397,-1.0
True,True,True,True,0.396,0.496,-0.09926638338086546,0.5952466892446876,0.257,4.231349247565692,-1.0
True,True,True,True,0.396,0.496,-0.1496482411032783,0.5912497139339291,0.257,-7.7274826897917315,-1.0
True,True,True,True,0.396,0.496,-0.055556262662486755,0.5797352321502759,0.257,-10.871589204879225,-1.0
