Simulation 1, attempts 3, Success
Simulation 8, attempts 1, Success
Simulation 10, attempts 1, Success
Simulation 13, attempts 2, Success
Simulation 16, attempts 2, Success
Simulation 20, attempts 1, Success
Simulation 22, attempts 1, Success
Simulation 23, attempts 1, Success
Simulation 24, attempts 1, Success
Simulation 33, attempts 1, Success
Simulation 35, attempts 1, Success
Simulation 37, attempts 1, Success
Simulation 38, attempts 1, Success
Simulation 44, attempts 1, Success
Simulation 50, attempts 1, Success
Simulation 57, attempts 1, Success
Simulation 61, attempts 1, Success
Simulation 63, attempts 1, Success
Simulation 72, attempts 1, Success
Simulation 85, attempts 1, Success
Simulation 86, attempts 3, Success
Simulation 94, attempts 8, Collision
Simulation 95, attempts 1, Success
Simulation 96, attempts 1, Success
Simulation 100, attempts 1, Success
Simulation 101, attempts 1, Success
Simulation 103, attempts 6, Success
Simulation 106, attempts 1, Success
Simulation 114, attempts 1, Success
Simulation 121, attempts 1, Success
Simulation 122, attempts 1, Success
Simulation 127, attempts 1, Success
Simulation 128, attempts 1, Success
Simulation 136, attempts 1, Success
Simulation 142, attempts 1, Success
Simulation 143, attempts 1, Success
Simulation 151, attempts 1, Success
Simulation 154, attempts 1, Success
Simulation 160, attempts 1, Success
Simulation 163, attempts 1, Success
Simulation 169, attempts 1, Success
Simulation 176, attempts 1, Success
Simulation 186, attempts 1, Success
Simulation 199, attempts 1, Success
Simulation 200, attempts 1, Success
Simulation 202, attempts 1, Success
Simulation 204, attempts 1, Success
Simulation 211, attempts 1, Success
Simulation 212, attempts 1, Success
Simulation 213, attempts 1, Success
Simulation 215, attempts 1, Success
Simulation 216, attempts 1, Success
Simulation 217, attempts 1, Success
Simulation 218, attempts 1, Success
Simulation 225, attempts 1, Success
Simulation 229, attempts 1, Success
Simulation 233, attempts 1, Success
Simulation 240, attempts 1, Success
Simulation 243, attempts 1, Success
Simulation 246, attempts 1, Success
Simulation 254, attempts 1, Success
Simulation 256, attempts 1, Success
Simulation 259, attempts 1, Success
Simulation 269, attempts 2, Success
Simulation 272, attempts 1, Success
Simulation 289, attempts 1, Success
Simulation 295, attempts 1, Success
Simulation 304, attempts 1, Success
Simulation 306, attempts 1, Success
Simulation 322, attempts 1, Success
Simulation 323, attempts 1, Success
Simulation 324, attempts 1, Success
Simulation 326, attempts 1, Success
Simulation 328, attempts 1, Success
Simulation 329, attempts 1, Success
Simulation 332, attempts 1, Success
Simulation 337, attempts 1, Success
Simulation 341, attempts 1, Success
Simulation 344, attempts 1, Success
Simulation 350, attempts 1, Success
Simulation 352, attempts 5, Success
Simulation 353, attempts 1, Success
Simulation 362, attempts 1, Success
Simulation 363, attempts 1, Success
Simulation 371, attempts 1, Success
Simulation 374, attempts 1, Success
Simulation 383, attempts 1, Success
Simulation 388, attempts 1, Success
Simulation 397, attempts 1, Success
Simulation 401, attempts 1, Success
Simulation 402, attempts 1, Success
Simulation 408, attempts 1, Success
Simulation 416, attempts 1, Success
Simulation 423, attempts 1, Success
Simulation 426, attempts 1, Success
Simulation 437, attempts 1, Success
Simulation 445, attempts 1, Success
Simulation 449, attempts 1, Success
Simulation 474, attempts 1, Success
