Simulation 13, attempts 4, Success
Simulation 16, attempts 3, Success
Simulation 20, attempts 6, Success
Simulation 22, attempts 4, Success
Simulation 23, attempts 2, Success
Simulation 33, attempts 1, Success
Simulation 37, attempts 1, Success
Simulation 101, attempts 1, Success
Simulation 103, attempts 1, Success
Simulation 119, attempts 5, Success
Simulation 121, attempts 1, Success
Simulation 128, attempts 1, Success
Simulation 136, attempts 1, Success
Simulation 151, attempts 1, Success
Simulation 160, attempts 1, Success
Simulation 163, attempts 1, Success
Simulation 176, attempts 1, Success
Simulation 186, attempts 1, Success
Simulation 202, attempts 1, Success
Simulation 211, attempts 1, Success
Simulation 216, attempts 6, Success
Simulation 217, attempts 1, Success
Simulation 243, attempts 1, Success
Simulation 256, attempts 1, Success
Simulation 259, attempts 1, Success
Simulation 289, attempts 1, Success
Simulation 322, attempts 1, Success
Simulation 323, attempts 1, Success
Simulation 332, attempts 1, Success
Simulation 341, attempts 1, Success
Simulation 362, attempts 1, Success
Simulation 391, attempts 1, Success
Simulation 401, attempts 1, Success
Simulation 416, attempts 1, Success
Simulation 437, attempts 1, Success
Simulation 442, attempts 1, Success
Simulation 445, attempts 1, Success
Simulation 449, attempts 1, Success
Simulation 483, attempts 1, Success
Simulation 509, attempts 1, Success
Simulation 511, attempts 1, Success
Simulation 515, attempts 1, Success
Simulation 516, attempts 1, Success
Simulation 517, attempts 1, Success
Simulation 518, attempts 1, Success
Simulation 519, attempts 1, Success
Simulation 521, attempts 2, Success
Simulation 531, attempts 1, Success
Simulation 548, attempts 4, Success
Simulation 564, attempts 1, Success
Simulation 580, attempts 1, Success
Simulation 587, attempts 1, Success
Simulation 588, attempts 1, Success
Simulation 596, attempts 6, Success
Simulation 613, attempts 7, Success
Simulation 627, attempts 8, Collision
Simulation 634, attempts 8, Success
Simulation 638, attempts 3, Success
Simulation 653, attempts 1, Success
Simulation 659, attempts 1, Success
Simulation 664, attempts 1, Success
Simulation 669, attempts 3, Success
Simulation 677, attempts 1, Success
Simulation 684, attempts 1, Success
Simulation 689, attempts 1, Success
Simulation 698, attempts 3, Success
Simulation 747, attempts 1, Success
Simulation 752, attempts 1, Success
Simulation 758, attempts 1, Success
Simulation 769, attempts 1, Success
Simulation 801, attempts 1, Success
Simulation 836, attempts 1, Success
Simulation 849, attempts 1, Success
Simulation 859, attempts 1, Success
Simulation 863, attempts 1, Success
Simulation 867, attempts 1, Success
Simulation 888, attempts 1, Success
Simulation 902, attempts 1, Success
Simulation 930, attempts 1, Success
Simulation 974, attempts 1, Success
Simulation 1023, attempts 1, Success
Simulation 1027, attempts 6, Success
Simulation 1046, attempts 1, Success
Simulation 1055, attempts 1, Success
Simulation 1116, attempts 1, Success
Simulation 1156, attempts 2, Success
Simulation 1157, attempts 2, Success
Simulation 1165, attempts 1, Success
Simulation 1168, attempts 1, Success
Simulation 1202, attempts 1, Success
Simulation 1217, attempts 1, Success
Simulation 1224, attempts 1, Success
Simulation 1233, attempts 1, Success
Simulation 1237, attempts 1, Success
Simulation 1244, attempts 1, Success
Simulation 1248, attempts 2, Success
Simulation 1251, attempts 1, Success
Simulation 1280, attempts 1, Success
Simulation 1284, attempts 1, Success
Simulation 1285, attempts 1, Success
Simulation 1297, attempts 5, Success
Simulation 1350, attempts 1, Success
Simulation 1357, attempts 4, Success
Simulation 1371, attempts 3, Success
Simulation 1373, attempts 1, Success
Simulation 1375, attempts 1, Success
Simulation 1377, attempts 1, Success
Simulation 1419, attempts 1, Success
Simulation 1452, attempts 1, Success
Simulation 1491, attempts 1, Success
Simulation 1510, attempts 1, Success
Simulation 1513, attempts 1, Success
Simulation 1521, attempts 1, Success
Simulation 1526, attempts 1, Success
Simulation 1537, attempts 1, Success
Simulation 1564, attempts 1, Success
Simulation 1576, attempts 1, Success
Simulation 1581, attempts 1, Success
Simulation 1592, attempts 1, Success
Simulation 1607, attempts 1, Success
Simulation 1619, attempts 4, Success
Simulation 1629, attempts 2, Success
Simulation 1633, attempts 1, Success
Simulation 1640, attempts 3, Success
Simulation 1658, attempts 1, Success
Simulation 1682, attempts 2, Success
Simulation 1689, attempts 1, Success
Simulation 1734, attempts 1, Success
Simulation 1735, attempts 1, Success
Simulation 1737, attempts 1, Success
Simulation 1747, attempts 1, Success
Simulation 1749, attempts 1, Success
Simulation 1751, attempts 1, Success
Simulation 1756, attempts 1, Success
Simulation 1768, attempts 1, Success
Simulation 1774, attempts 1, Success
Simulation 1779, attempts 1, Success
Simulation 1784, attempts 1, Success
Simulation 1800, attempts 1, Success
Simulation 1801, attempts 1, Success
Simulation 1810, attempts 1, Success
Simulation 1812, attempts 1, Success
Simulation 1828, attempts 1, Success
Simulation 1842, attempts 1, Success
