Session 0, Simulation 1, attempt 2, 1581682 ns
Session 0, Simulation 1, attempt 3, 50264692 ns
Session 0, Simulation 13, attempt 2, 415831221 ns
Session 0, Simulation 16, attempt 2, 492126998 ns
Session 0, Simulation 20, attempt 2, 585750930 ns
Session 0, Simulation 20, attempt 3, 601852434 ns
Session 1, Simulation 86, attempt 2, 4497295 ns
Session 1, Simulation 86, attempt 3, 259864565 ns
Session 1, Simulation 94, attempt 2, 431350054 ns
Session 1, Simulation 94, attempt 3, 438053044 ns
Session 1, Simulation 94, attempt 4, 462354447 ns
Session 1, Simulation 94, attempt 5, 530100094 ns
Session 1, Simulation 94, attempt 6, 534184045 ns
Session 1, Simulation 94, attempt 7, 558583790 ns
Session 1, Simulation 94, attempt 8, 583183892 ns
Session 1, Simulation 94, attempt 9, 595865956 ns
Session 1, Simulation 103, attempt 2, 709576393 ns
Session 1, Simulation 103, attempt 3, 754359198 ns
Session 1, Simulation 103, attempt 4, 832404560 ns
Session 1, Simulation 103, attempt 5, 875642375 ns
Session 1, Simulation 103, attempt 6, 913786654 ns
Session 1, Simulation 103, attempt 7, 925728529 ns
Session 1, Simulation 103, attempt 8, 979794094 ns
Session 1, Simulation 114, attempt 2, 1084311758 ns
Session 1, Simulation 114, attempt 3, 1138239783 ns
Session 1, Simulation 114, attempt 4, 1155355188 ns
Session 3, Simulation 269, attempt 2, 244556 ns
Session 4, Simulation 352, attempt 2, 3396077 ns
Session 4, Simulation 352, attempt 3, 203865532 ns
Session 4, Simulation 352, attempt 4, 262654582 ns
Session 4, Simulation 352, attempt 5, 288118683 ns
Session 5, Simulation 479, attempt 2, 990874 ns
Session 5, Simulation 479, attempt 3, 20827705 ns
Session 5, Simulation 493, attempt 2, 317006334 ns
Session 5, Simulation 493, attempt 3, 339262463 ns
Session 5, Simulation 493, attempt 4, 389248945 ns
Session 5, Simulation 493, attempt 5, 422785756 ns
Session 5, Simulation 519, attempt 2, 547062637 ns
Session 5, Simulation 521, attempt 2, 681004822 ns
Session 6, Simulation 538, attempt 2, 1539100 ns
Session 6, Simulation 538, attempt 3, 38804053 ns
Session 6, Simulation 538, attempt 4, 234615159 ns
Session 6, Simulation 538, attempt 5, 257259673 ns
Session 6, Simulation 538, attempt 6, 288037144 ns
Session 6, Simulation 553, attempt 2, 403356256 ns
Session 6, Simulation 580, attempt 2, 544550226 ns
Session 6, Simulation 602, attempt 2, 694796179 ns
Session 6, Simulation 602, attempt 3, 725284599 ns
Session 8, Simulation 753, attempt 2, 1727525 ns
Session 8, Simulation 753, attempt 3, 65645027 ns
Session 10, Simulation 982, attempt 2, 7054422 ns
Session 10, Simulation 982, attempt 3, 252793317 ns
Session 11, Simulation 1094, attempt 2, 1647390 ns
Session 11, Simulation 1094, attempt 3, 50070825 ns
Session 11, Simulation 1106, attempt 2, 423273202 ns
Session 11, Simulation 1108, attempt 2, 554924627 ns
Session 11, Simulation 1116, attempt 2, 663561078 ns
Session 11, Simulation 1116, attempt 3, 660593865 ns
Session 12, Simulation 1212, attempt 2, 8243071 ns
Session 14, Simulation 1377, attempt 2, 1161746 ns
Session 14, Simulation 1377, attempt 3, 29355438 ns
Session 15, Simulation 1538, attempt 2, 272389 ns
Session 17, Simulation 1801, attempt 2, 1290837 ns
Session 17, Simulation 1846, attempt 2, 28060034 ns
Session 17, Simulation 1846, attempt 3, 288265027 ns
Session 18, Simulation 1882, attempt 2, 1803162 ns
Session 18, Simulation 1883, attempt 2, 76096017 ns
Session 20, Simulation 2102, attempt 2, 204548 ns
Session 20, Simulation 2103, attempt 2, 10039560 ns
Session 21, Simulation 2224, attempt 2, 5336845 ns
Session 21, Simulation 2224, attempt 3, 266488098 ns
Session 21, Simulation 2226, attempt 2, 384275504 ns
Session 21, Simulation 2226, attempt 3, 396120221 ns
Session 21, Simulation 2249, attempt 2, 533432119 ns
Session 21, Simulation 2249, attempt 3, 594261483 ns
Session 21, Simulation 2270, attempt 2, 756350767 ns
Session 21, Simulation 2270, attempt 3, 819093879 ns
Session 21, Simulation 2270, attempt 4, 852807041 ns
Session 21, Simulation 2297, attempt 2, 1004322470 ns
Session 21, Simulation 2299, attempt 2, 1119523360 ns
Session 21, Simulation 2333, attempt 2, 1336174034 ns
Session 21, Simulation 2358, attempt 2, 1390577414 ns
Session 21, Simulation 2358, attempt 3, 1418962326 ns
Session 21, Simulation 2358, attempt 4, 1457561409 ns
Session 21, Simulation 2358, attempt 5, 1474650803 ns
Session 22, Simulation 2383, attempt 2, 1675825 ns
Session 22, Simulation 2383, attempt 3, 62699836 ns
Session 22, Simulation 2402, attempt 2, 348021713 ns
Session 22, Simulation 2402, attempt 3, 392441150 ns
Session 22, Simulation 2415, attempt 2, 510966251 ns
Session 22, Simulation 2422, attempt 2, 613810268 ns
Session 22, Simulation 2457, attempt 2, 703119690 ns
Session 23, Simulation 2465, attempt 2, 3469770 ns
Session 23, Simulation 2485, attempt 2, 419184526 ns
Session 23, Simulation 2534, attempt 2, 585596388 ns
Session 23, Simulation 2534, attempt 3, 632706421 ns
Session 23, Simulation 2534, attempt 4, 633555089 ns
Session 24, Simulation 2613, attempt 2, 249244 ns
Session 24, Simulation 2613, attempt 3, 25176383 ns
Session 24, Simulation 2613, attempt 4, 281765218 ns
Session 24, Simulation 2613, attempt 5, 313305540 ns
Session 24, Simulation 2635, attempt 2, 392544994 ns
Session 24, Simulation 2635, attempt 3, 419638897 ns
Session 24, Simulation 2635, attempt 4, 446498789 ns
Session 24, Simulation 2635, attempt 5, 497649513 ns
Session 24, Simulation 2635, attempt 6, 524616502 ns
Session 24, Simulation 2635, attempt 7, 559865296 ns
Session 24, Simulation 2637, attempt 2, 667863800 ns
Session 24, Simulation 2637, attempt 3, 689872487 ns
Session 24, Simulation 2637, attempt 4, 716009985 ns
Session 24, Simulation 2637, attempt 5, 771544313 ns
Session 24, Simulation 2637, attempt 6, 739506533 ns
Session 24, Simulation 2651, attempt 2, 838932383 ns
Session 24, Simulation 2666, attempt 2, 1049399343 ns
Session 24, Simulation 2666, attempt 3, 1096248881 ns
Session 24, Simulation 2666, attempt 4, 1164377611 ns
Session 24, Simulation 2666, attempt 5, 1200595959 ns
Session 24, Simulation 2666, attempt 6, 1249239291 ns
Session 24, Simulation 2666, attempt 7, 1323473509 ns
Session 24, Simulation 2666, attempt 8, 1367037675 ns
Session 24, Simulation 2666, attempt 9, 1424173211 ns
Session 24, Simulation 2682, attempt 2, 1600416277 ns
Session 24, Simulation 2682, attempt 3, 1653602891 ns
Session 24, Simulation 2682, attempt 4, 1738578011 ns
Session 24, Simulation 2682, attempt 5, 1760738544 ns
Session 24, Simulation 2712, attempt 2, 1872068694 ns
Session 24, Simulation 2712, attempt 3, 1900013681 ns
Session 24, Simulation 2712, attempt 4, 1917471279 ns
Session 24, Simulation 2712, attempt 5, 1951078161 ns
Session 24, Simulation 2712, attempt 6, 1958853874 ns
Session 24, Simulation 2712, attempt 7, 2015698643 ns
Session 24, Simulation 2712, attempt 8, 2015125819 ns
Session 24, Simulation 2712, attempt 9, 2076168393 ns
Session 25, Simulation 2750, attempt 2, 1324583 ns
Session 25, Simulation 2781, attempt 2, 74123453 ns
Session 25, Simulation 2789, attempt 2, 519384231 ns
Session 26, Simulation 2825, attempt 2, 1039039 ns
Session 26, Simulation 2850, attempt 2, 26055839 ns
Session 26, Simulation 2850, attempt 3, 371882410 ns
Session 26, Simulation 2850, attempt 4, 381817077 ns
Session 26, Simulation 2850, attempt 5, 410229856 ns
Session 26, Simulation 2850, attempt 6, 432964543 ns
Session 26, Simulation 2853, attempt 2, 509386211 ns
Session 26, Simulation 2853, attempt 3, 629781528 ns
Session 26, Simulation 2855, attempt 2, 677904549 ns
Session 26, Simulation 2855, attempt 3, 746122912 ns
Session 26, Simulation 2855, attempt 4, 773471913 ns
Session 26, Simulation 2917, attempt 2, 915365307 ns
Session 26, Simulation 2917, attempt 3, 971120461 ns
Session 26, Simulation 2917, attempt 4, 1011192425 ns
Session 26, Simulation 2917, attempt 5, 1067479614 ns
Session 26, Simulation 2917, attempt 6, 1117222639 ns
Session 26, Simulation 2917, attempt 7, 1141312280 ns
Session 26, Simulation 2917, attempt 8, 1176862029 ns
Session 26, Simulation 2949, attempt 2, 1276731016 ns
Session 27, Simulation 2960, attempt 2, 319340 ns
Session 27, Simulation 2968, attempt 2, 35436559 ns
Session 27, Simulation 3026, attempt 2, 423416756 ns
Session 28, Simulation 3105, attempt 2, 7154075 ns
Session 29, Simulation 3173, attempt 2, 1233276 ns
Session 29, Simulation 3218, attempt 2, 51522634 ns
Session 30, Simulation 3247, attempt 2, 1294154 ns
Session 31, Simulation 3409, attempt 2, 1765278 ns
Session 31, Simulation 3409, attempt 3, 47105586 ns
Session 31, Simulation 3409, attempt 4, 243311352 ns
Session 31, Simulation 3411, attempt 2, 349204049 ns
Session 31, Simulation 3447, attempt 2, 534888541 ns
Session 31, Simulation 3471, attempt 2, 635332146 ns
Session 31, Simulation 3485, attempt 2, 704877667 ns
Session 32, Simulation 3532, attempt 2, 6546215 ns
Session 32, Simulation 3562, attempt 2, 460197266 ns
Session 32, Simulation 3562, attempt 3, 408031711 ns
Session 32, Simulation 3562, attempt 4, 430484844 ns
Session 32, Simulation 3591, attempt 2, 585146158 ns
Session 32, Simulation 3591, attempt 3, 599906557 ns
Session 33, Simulation 3605, attempt 2, 894578 ns
Session 34, Simulation 3729, attempt 2, 2133182 ns
Session 34, Simulation 3729, attempt 3, 95544459 ns
Session 34, Simulation 3762, attempt 2, 329811953 ns
Session 34, Simulation 3805, attempt 2, 479901878 ns
Session 34, Simulation 3805, attempt 3, 516306608 ns
Session 34, Simulation 3805, attempt 4, 548377700 ns
Session 34, Simulation 3805, attempt 5, 580448613 ns
Session 34, Simulation 3805, attempt 6, 597707115 ns
Session 34, Simulation 3805, attempt 7, 629063467 ns
